HBA_SMILES,HBD_SMILES,Other_SMILES,ratio_HBA_to_HBD,ratio_Other_to_HBD,property_value,property_type,property_unity,Temperature_C
CCN.Cl,C(CO)O,O,0.04,0.03,4.891,conductivity,mS/cm,-1
CCN.Cl,C(CO)O,O,0.04,0.03,4.977,conductivity,mS/cm,-0.6
CCN.Cl,C(CO)O,O,0.04,0.03,7.877,conductivity,mS/cm,10.4
CCN.Cl,C(CO)O,O,0.04,0.03,7.936,conductivity,mS/cm,10.7
CCN.Cl,C(CO)O,O,0.04,0.03,13.694,conductivity,mS/cm,26.9
CCN.Cl,C(CO)O,O,0.04,0.03,25.715,conductivity,mS/cm,50.4
CCN.Cl,C(CO)O,O,0.04,0.03,36.7,viscosity,cp,5.6
CCN.Cl,C(CO)O,O,0.04,0.03,30,viscosity,cp,9.9
CCN.Cl,C(CO)O,O,0.04,0.03,23.7,viscosity,cp,15
CCN.Cl,C(CO)O,O,0.04,0.03,16.5,viscosity,cp,25
CCN.Cl,C(CO)O,O,0.04,0.03,11.3,viscosity,cp,35
CCN.Cl,C(CO)O,O,0.04,0.03,6.1,viscosity,cp,45
CCN.Cl,C(CO)O,O,0.04,0.03,2.83,electrochemical_window,V,26.6
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,49.9,viscosity,cp,5
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,39.7,viscosity,cp,10
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,32.18,viscosity,cp,15
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,21,viscosity,cp,25
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,14.2,viscosity,cp,35
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,9.8,viscosity,cp,45
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,6.97,viscosity,cp,55
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,0.632,conductivity,mS/cm,-29.5
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,1.233,conductivity,mS/cm,-19.4
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,2.507,conductivity,mS/cm,0.9
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,5.883,conductivity,mS/cm,26.1
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,8.972,conductivity,mS/cm,40
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,13.837,conductivity,mS/cm,59.8
[Li+].[N+](=O)([O-])[O-],CNC=O,O,0.04,0.03,3.41,electrochemical_window,V,26.2
