HBA_SMILES,HBD_SMILES,ratio,property_value,property_type,property_unity,method,functional,basis,forcefield
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,1.0732,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,1.0707,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,1.0669,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,1.0596,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,1.0557,density,g/cc,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,0.811,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,3.138,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,9.139,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Cl-].C[N+](C)(C)CCO,CC(CO)O,0.333333333,3.91,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.0993,density,g/cc,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.0993,density,g/cc,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.096,density,g/cc,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.0937,density,g/cc,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.0883,density,g/cc,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.0869,density,g/cc,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.1039,density,g/cc,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.1054,density,g/cc,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,0.4786,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.018,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,1.699,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,4.891,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,4.977,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,7.877,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,7.936,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,13.694,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,25.715,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,36.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,30,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,23.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,16.5,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,11.3,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,6.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
CCN.Cl,C(CO)O,0.25,2.83,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,49.9,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,39.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,32.18,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,21,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,14.2,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,9.8,viscosity,cp,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,6.97,viscosity,cp,dft,bp86,Def2-TZVP,UFF
